Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Nadk2,Tacstd2,ENSG00000184292
Hars,Irf5,ENSG00000128604
Cox7c,Cstb,ENSG00000160213
Napb,Cnppd1,ENSG00000115649
Ranbp9,Polr2i,ENSG00000105258
Ltbp3,Dolpp1,ENSG00000167130
Klhdc8b,Chil4,ENSG00000134216
Gjc2,4931406C07Rik,ENSG00000182919
Rrnad1,Ppm1j,ENSG00000155367
Uqcrq,Snx20,ENSG00000167208
Fam129c,LOC100504703,error - retries exceeded
Myom1,Twist1,ENSG00000122691
Acsl1,Cldn4,not found
Srebf2,Fzd8,ENSG00000177283
Tgfbr1,D5Ertd579e,ENSG00000170871
Itgb1,4930529M08Rik,ENSG00000089101
Stmn2,Chd1l,ENSG00000131778
Gimap6,Ppox,ENSG00000143224
Ankrd32,Cxx1a,ENSG00000134590
Cln8,4930412O13Rik,not found
Hsf2,Hk3,ENSG00000160883
Smpdl3a,8430427H17Rik,ENSG00000197183
Spop,Keap1,ENSG00000079999
Dock9,Tmem164,ENSG00000157600
Mocos,4930412C18Rik,not found
Fbxo30,Coa5,ENSG00000183513
1600029I14Rik,Esrrg,ENSG00000196482
Scml4,Fut4,ENSG00000196371
Tulp1,Dgkq,ENSG00000145214
Tmem246,Bicd2,ENSG00000185963
Eif3e,Snx3,ENSG00000112335
Zfp787,Eif4b,ENSG00000063046
Gpr63,Pcdhb5,ENSG00000081818
Xrcc3,Acyp1,not found
Bzw1,Ranbp2,ENSG00000153201
Grin3b,Tmed10,ENSG00000170348
Gm15910,Wee1,ENSG00000166483
Prpf4b,Pold1,ENSG00000062822
Smim4,Cyp4f17,ENSG00000186526
9130019O22Rik,Copb1,ENSG00000129083
Zfp811,Cd74,ENSG00000019582
Lsm14a,Rragc,ENSG00000116954
Nrm,Mfsd7b,ENSG00000162769
Klhl17,Tspan12,ENSG00000106025
Chmp3,Cytip,ENSG00000115165
Slc17a7,Thtpa,ENSG00000259431
Cmpk1,Dlk1,ENSG00000185559
Tmem176b,Sclt1,ENSG00000151466
1810037I17Rik,Anln,ENSG00000011426
Sez6l,Zfp715,not found
Mab21l3,Mmachc,ENSG00000132763
Elp3,Ttc38,ENSG00000075234
Acss3,Ghitm,ENSG00000165678
Bap1,Gm13212,not found
Smpd3,Gzf1,ENSG00000125812
A130010J15Rik,Slc25a4,ENSG00000151729
Ralgapa2,Abcc4,ENSG00000125257
Tssc1,Phkb,ENSG00000102893
Stard7,Gm9855,not found
Dio1,Tmem123,ENSG00000152558
Hnrnph1,Hcn4,ENSG00000138622
Dph5,Grhl3,ENSG00000158055
Cpt1b,Plcb4,ENSG00000101333
Dpy19l3,Mapk7,ENSG00000166484
Cct6a,Hepacam,ENSG00000165478
Pcdhga9,Rasgrp2,ENSG00000068831
Rbm34,Itgb3bp,ENSG00000142856
Ralbp1,Tbl2,ENSG00000106638
Syde2,Nudt17,ENSG00000186364
Selplg,Ccdc64b,ENSG00000162069
Lgals4,Mak16,ENSG00000198042
Hspb1,Arl6,ENSG00000113966
Pydc3,Prickle2,ENSG00000163637
Nudt15,Nop16,ENSG00000048162
Tle2,Hypk,ENSG00000242028
Dpysl2,Ssu72,ENSG00000160075
4930429B21Rik,Aldh1a2,ENSG00000128918
Nppa,Ndfip2,ENSG00000102471
Slc44a1,Stk32a,ENSG00000169302
Fancf,Slc7a10,ENSG00000130876
Kcnj13,Rgs6,ENSG00000182732
Tbc1d5,Gmps,ENSG00000163655
Hs6st1,Gm4788,not found
Eef2k,Ifi30,ENSG00000216490
Fam193a,Nmral1,ENSG00000153406
Pnn,Col8a1,ENSG00000144810
Hirip3,4930526I15Rik,error - retries exceeded
Zfr,Otud1,ENSG00000165312
Ndufaf7,C2cd2,ENSG00000157617
Rnpc3,Plxdc2,ENSG00000120594
Col1a2,Sema3e,ENSG00000170381
Bco2,Rnf39,ENSG00000204618
Pdia6,Shc2,not found
Kcnk5,Smtnl2,ENSG00000188176
Mars,Cyp4f18,ENSG00000186529
Adra1b,Ramp2,ENSG00000131477
Kdm7a,Zfp68,not found
Unc93b1,Pls3,ENSG00000102024
Ezh2,Optn,ENSG00000123240
Mark2,Nfu1,ENSG00000169599
Wdtc1,Cript,ENSG00000119878
Epb4.1,Scnn1a,ENSG00000111319
Zswim5,Tulp3,ENSG00000078246
Slc4a7,Pm20d1,ENSG00000162877
Capg,Hsd17b7,ENSG00000132196
Eef1e1,Sgip1,ENSG00000118473
Arhgap18,Ptger2,ENSG00000125384
Mmp2,Ndufa12,ENSG00000184752
Cdkn2d,Slc39a13,ENSG00000165915
Cdon,Itsn1,ENSG00000205726
Ets2,Ttc39c,ENSG00000168234
ChkbCpt1b,Gm14685,ENSG00000278803
Farp2,Ramp1,ENSG00000132329
Pde8a,Hsd17b12,ENSG00000149084
Rab9,Bnipl,ENSG00000163141
Armc8,Hoxb2,ENSG00000173917
Tpd52l2,Adrb3,ENSG00000188778
Cd68,Nr2f1,ENSG00000175745
Clcc1,Naa40,ENSG00000110583
Cactin,Osr1,ENSG00000143867
Sh3pxd2b,Nop2,ENSG00000111641
Fam151b,Sgcg,ENSG00000102683
Tipin,Fam65c,ENSG00000042062
Mettl17,Diap1,ENSG00000131504
Zfp945,Chst15,ENSG00000182022
Sap30bp,Gtf2h5,ENSG00000272047
Brms1,Cyp3a13,ENSG00000106258
Parm1,Cyp3a13,ENSG00000021461
Nptn,Cyp3a13,ENSG00000160870
Gemin4,Cyp3a13,ENSG00000160868
Lox,Coq9,ENSG00000088682
Sin3a,D630039A03Rik,ENSG00000188959
Ccnt2,Npr1,ENSG00000169418
Wls,Tmem43,ENSG00000170876
Kcnn4,Hipk1,ENSG00000163349
Micall1,Prkar1a,ENSG00000108946
Tcf20,Gsr,ENSG00000104687
Lgalsl,Shc4,ENSG00000185634
Zfp551,Prx,ENSG00000105227
Pgm5,Bcas3os2,not found
0610037L13Rik,Ypel5,ENSG00000119801
Fam189a1,Dusp23,ENSG00000158716
Lypla1,Smim14,ENSG00000163683
Apbb1ip,Rpl35,ENSG00000136942
Gata6,Dynlt1f,ENSG00000146425
Rtn1,Fam63b,ENSG00000128923
Ggta1,Gng7,ENSG00000176533
Med9,Sox9,ENSG00000125398
Fdft1,Gck,ENSG00000106633
Id2,Zfp956,not found
Cldn25,Lpl,ENSG00000175445
Map1lc3b,Tmem53,ENSG00000126106
Htatsf1,Agpat4,ENSG00000026652
Frmd8,Pear1,ENSG00000187800
Dnajc11,Tlk2,ENSG00000146872
Arhgap6,Vav2,ENSG00000160293
Itga2,Gdpd2,ENSG00000130055
Acbd4,Hcfc1,ENSG00000172534
Sec22b,Prdm9,ENSG00000126856
Cdk11b,Kbtbd11,ENSG00000176595
Rgs5,Nadk2,ENSG00000152620
B230217O12Rik,Napb,ENSG00000125814
Spdef,Hars,ENSG00000170445
A630072M18Rik,Klhdc8b,ENSG00000185909
Pcdhgb8,Ift122,ENSG00000163913
Nkain3,Dlg4,ENSG00000132535
Usp40,Ranbp9,ENSG00000010017
Dtwd1,Gjc2,ENSG00000198835
H3f3b,Cox7c,ENSG00000127184
Glt8d1,Uqcrq,ENSG00000164405
Cdk9,Fam129c,ENSG00000167483
Igfbp5,Ltbp3,ENSG00000168056
Mapkap1,Rrnad1,ENSG00000143303
BC002163,Gimap6,ENSG00000133561
A230103J11Rik,Cln8,ENSG00000182372
Flnb,Hsf2,ENSG00000025156
Dnajb2,Srebf2,ENSG00000198911
Mir17hg,Stmn2,ENSG00000104435
Pag1,Tgfbr1,ENSG00000106799
Ugp2,Smpdl3a,ENSG00000172594
Nkain1,Acsl1,ENSG00000151726
Pkp2,Myom1,ENSG00000101605
Fut10,1600029I14Rik,ENSG00000181322
Cr1l,Ankrd32,ENSG00000133302
Tex264,Spop,ENSG00000121067
Gm3488,Tmem246,ENSG00000165152
Zcwpw1,Scml4,ENSG00000146285
Gm3317,Eif3e,ENSG00000104408
P2ry6,Zfp787,ENSG00000142409
Klhl12,Itgb1,ENSG00000150093
Zc3h11a,Tulp1,ENSG00000112041
Kctd13,Dock9,ENSG00000088387
Gm6402,Gpr63,ENSG00000112218
2310067B10Rik,Mocos,ENSG00000075643
Sfxn1,Smim4,ENSG00000168273
Prrc2a,Xrcc3,ENSG00000126215
Ptprq,Gm15910,not found
Mpped2,Zfp811,ENSG00000223547
Soat1,Bzw1,ENSG00000082153
Sh2b1,9130019O22Rik,not found
Hoxa4,Prpf4b,ENSG00000112739
Gns,Grin3b,ENSG00000116032
Pwwp2a,Cmpk1,ENSG00000162368
Dctpp1,Klhl17,ENSG00000187961
Grpel1,Chmp3,ENSG00000115561
Trp63,1810037I17Rik,ENSG00000164096
Srp54c,Tmem176b,ENSG00000106565
Abcc3,Fbxo30,ENSG00000109670
Ebi3,Lsm14a,ENSG00000257103
Glipr1,Slc17a7,ENSG00000104888
Nfkbil1,Nrm,ENSG00000137404
Tmem38a,Mab21l3,ENSG00000173212
Gpr18,Sez6l,ENSG00000100095
Efhc2,A130010J15Rik,ENSG00000162757
Gabarapl1,Smpd3,ENSG00000103056
4833423E24Rik,Tssc1,ENSG00000032389
Hid1,Elp3,ENSG00000134014
Cyb5d2,Stard7,ENSG00000084090
Iffo2,Dio1,ENSG00000211452
Ube4b,Dph5,ENSG00000117543
Gdf15,Acss3,ENSG00000111058
Cdc26,Cct6a,ENSG00000146731
Tmem189,Ralgapa2,ENSG00000188559
Gspt1,Hnrnph1,ENSG00000169045
Cd2ap,Pcdhga9,ENSG00000261934
6030443J06Rik,Dpy19l3,ENSG00000178904
Cnot2,Pydc3,not found
5330413P13Rik,Selplg,ENSG00000110876
Rad23a,Cpt1b,ENSG00000205560
Parn,Hspb1,ENSG00000106211
Bola3,Ralbp1,ENSG00000017797
Paqr3,Tle2,ENSG00000065717
Slco4c1,Rbm34,ENSG00000188739
Fhl3,Nudt15,ENSG00000136159
Lynx1,Syde2,ENSG00000097096
AI662270,Lgals4,ENSG00000171747
Gja1,Bap1,ENSG00000151276
Rere,Dpysl2,ENSG00000092964
Krtcap3,Fancf,ENSG00000183161
Tceal3,Nppa,ENSG00000175206
Ccno,Kcnj13,ENSG00000115474
Srf,Hirip3,ENSG00000149929
Dcaf12l1,Eef2k,ENSG00000103319
Mrpl34,Ndufaf7,ENSG00000003509
Chil3,Pnn,ENSG00000100941
Gbp6,Zfr,ENSG00000056097
Adora3,Tbc1d5,ENSG00000131374
Arpc1b,Hs6st1,ENSG00000136720
Tob1,Col1a2,ENSG00000164692
Man1b1,Pdia6,ENSG00000143870
Plp2,Kcnk5,ENSG00000164626
Rps27l,Fam193a,ENSG00000125386
Tbx1,Slc44a1,ENSG00000070214
Zswim8,Rnpc3,ENSG00000185946
2810002D19Rik,Adra1b,ENSG00000170214
Shfm1,Bco2,ENSG00000197580
Lpcat4,Mars,ENSG00000166986
Abhd1,Unc93b1,ENSG00000110057
Lrrc14b,Zswim5,ENSG00000162415
Zw10,Wdtc1,ENSG00000142784
P2rx1,Kdm7a,ENSG00000006459
Lrrc1,Mark2,ENSG00000072518
Noc4l,Ezh2,ENSG00000106462
Slc43a3,Epb4.1,ENSG00000159023
Rer1,Slc4a7,ENSG00000033867
Slc39a8,Capg,ENSG00000042493
Tmem59,Eef1e1,ENSG00000124802
Dusp28,Ets2,ENSG00000157557
Rpl38,Cdkn2d,ENSG00000129355
Endou,Arhgap18,ENSG00000146376
S100a13,Cd68,not found
Gss,Mmp2,ENSG00000087245
Tmem191c,Clcc1,ENSG00000121940
Mcam,Pde8a,ENSG00000073417
Izumo4,Farp2,ENSG00000006607
Chmp4c,Armc8,ENSG00000114098
Sorcs1,Cdon,ENSG00000064309
Gpr34,Fam151b,ENSG00000152380
Cspp1,4930429B21Rik,error - retries exceeded
Rab3a,Cactin,ENSG00000105298
P2ry1,Sh3pxd2b,ENSG00000174705
Ggact,Parm1,ENSG00000169116
Xist,Tipin,ENSG00000075131
Ttc23,Rab9,ENSG00000123595
Eea1,Zfp945,ENSG00000196378
Wdr20,Tpd52l2,ENSG00000101150
Rbfox3,Mettl17,ENSG00000165792
Erg,Brms1,ENSG00000100916
Stra13,Sap30bp,ENSG00000161526
Scamp5,Nptn,ENSG00000156642
Plcg2,Lox,ENSG00000113083
Cggbp1,Gemin4,ENSG00000179409
Evi5l,Zfp551,ENSG00000204519
Card9,Pgm5,ENSG00000154330
LOC100861615,Kcnn4,ENSG00000104783
Stam2,Sin3a,ENSG00000169375
Smarca1,Ccnt2,ENSG00000082258
2810403D21Rik,Wls,ENSG00000116729
Cdh3,Fam189a1,ENSG00000104059
Zcchc4,Tcf20,not found
Epb4.1l2,0610037L13Rik,ENSG00000162384
C3ar1,Micall1,ENSG00000100139
Igfbp4,Med9,ENSG00000141026
Thnsl1,Lypla1,ENSG00000120992
Fbln1,Map1lc3b,not found
Tacc2,Lgalsl,ENSG00000119862
Rnf144b,Apbb1ip,ENSG00000077420
Atf5,Ggta1,not found
Lcn2,Fdft1,ENSG00000079459
Slc25a38,Id2,ENSG00000115738
Ptprt,Rtn1,ENSG00000139970
Acat2,Cldn25,ENSG00000080822
Gan,Gata6,ENSG00000141448
Map3k12,B230217O12Rik,not found
Csnk1d,Htatsf1,ENSG00000102241
Ankdd1b,Frmd8,ENSG00000126391
Il16,Sec22b,ENSG00000265808
Tert,Acbd4,ENSG00000181513
Ctdp1,Rgs5,ENSG00000143248
Urah,Cdk11b,ENSG00000008128
Amigo2,Cdk11b,ENSG00000248333
Rbm19,A630072M18Rik,not found
Aldh3a1,Dnajc11,ENSG00000007923
Simc1,Pcdhgb8,not found
Tmx2,Nkain3,ENSG00000185942
Dus3l,H3f3b,ENSG00000132475
Nr6a1,Arhgap6,ENSG00000047648
Ndufaf3,BC002163,not found
Pcdh9,Itga2,ENSG00000164171
Tmem200b,Spdef,ENSG00000124664
Cd59a,Dtwd1,ENSG00000104047
Gad1,A230103J11Rik,not found
Prkd3,Glt8d1,ENSG00000016864
Card6,Cdk9,ENSG00000136807
Rpusd4,Mapkap1,ENSG00000119487
Sult1a1,Usp40,ENSG00000085982
Ankib1,Igfbp5,ENSG00000115461
Fhod3,Nkain1,ENSG00000084628
Fscn1,Mir17hg,not found
Ccdc94,Dnajb2,ENSG00000135924
Hdac9,Fut10,ENSG00000172728
Mettl15,Gm3488,not found
Ret,Pkp2,ENSG00000057294
Bcat2,Tex264,ENSG00000164081
Rps10,Zcwpw1,ENSG00000078487
B3gnt3,Gm3317,not found
Taok1,Cr1l,ENSG00000203710
Nol9,Gm6402,not found
Slc25a29,Ugp2,ENSG00000169764
Chst11,P2ry6,ENSG00000171631
Smco3,Kctd13,ENSG00000174943
Usp32,Sfxn1,ENSG00000164466
Ubn1,Mpped2,ENSG00000066382
Arhgef9,Flnb,ENSG00000136068
Eid2b,2310067B10Rik,ENSG00000177728
Wwc1,Klhl12,ENSG00000117153
Myo1f,Pag1,ENSG00000182752
Hiat1,Ptprq,ENSG00000139304
Ing2,Zc3h11a,ENSG00000214558
Gkap1,Zc3h11a,ENSG00000058673
Luc7l,Zc3h11a,ENSG00000215817
Pphln1,Prrc2a,ENSG00000204469
Mboat1,Hoxa4,ENSG00000197576
Ivns1abp,Srp54c,ENSG00000100883
Mkl1,Sh2b1,ENSG00000178188
Cnksr2,Dctpp1,ENSG00000179958
4833422C13Rik,Grpel1,ENSG00000109519
Fam73a,Pwwp2a,ENSG00000170234
Arntl,Trp63,ENSG00000073282
Selt,Gns,ENSG00000135677
Yy2,Glipr1,ENSG00000139278
Camkk1,Ebi3,ENSG00000105246
Smco1,Soat1,ENSG00000057252
Dgat1,Gpr18,ENSG00000125245
Stk19,Tmem38a,ENSG00000072954
Wdr53,Nfkbil1,ENSG00000204498
Mical3,Cyb5d2,ENSG00000167740
Mfn2,Efhc2,ENSG00000183690
Eif2b5,Gabarapl1,ENSG00000139112
Rhbg,Gdf15,ENSG00000130513
9430016H08Rik,Abcc3,ENSG00000108846
Kif13a,Iffo2,ENSG00000169991
Slc35a2,4833423E24Rik,not found
Prickle4,Tmem189,ENSG00000240849
Fastk,Cdc26,ENSG00000176386
Hnrnpc,Hid1,ENSG00000167861
Gpatch3,6030443J06Rik,not found
Trappc2l,Cnot2,ENSG00000111596
Slc17a5,Rad23a,ENSG00000179262
Fam124a,Ube4b,ENSG00000130939
Ezh1,Parn,ENSG00000140694
Reps2,Bola3,ENSG00000163170
Stac,AI662270,not found
Nckap1l,Lynx1,ENSG00000180155
Maml2,Paqr3,ENSG00000163291
D830031N03Rik,Tceal3,ENSG00000204065
Mterfd2,Tceal3,ENSG00000204071
Gbp5,Tceal3,ENSG00000196507
Nt5c3,Fhl3,ENSG00000183386
Sepw1,Krtcap3,ENSG00000157992
Gdpgp1,Gspt1,ENSG00000103342
Prr11,Slco4c1,ENSG00000173930
Btbd6,Ccno,ENSG00000152669
A830080D01Rik,Cd2ap,ENSG00000198087
Nudt4,Chil3,ENSG00000134216
H2afx,Gbp6,ENSG00000183347
Zbtb26,5330413P13Rik,not found
Cd69,Mrpl34,ENSG00000130312
Mlph,Dcaf12l1,ENSG00000198354
Fuca1,Srf,ENSG00000112658
Oaz1-ps,Rere,ENSG00000142599
Got1,Adora3,ENSG00000282608
Tmem222,Rps27l,ENSG00000185088
Ciapin1,Arpc1b,ENSG00000130429
Coa3,2810002D19Rik,not found
Stk40,Plp2,ENSG00000102007
Tax1bp3,Tob1,ENSG00000141232
Asb7,Tbx1,ENSG00000184058
Galnt15,Gja1,ENSG00000152661
Fam57a,Man1b1,ENSG00000177239
Ints7,Lpcat4,ENSG00000176454
Dars,Zswim8,ENSG00000214655
S1pr2,Abhd1,ENSG00000143994
Malat1,Shfm1,ENSG00000127922
Tmem108,Zw10,ENSG00000086827
Mcoln3,Noc4l,ENSG00000184967
Pigc,P2rx1,ENSG00000108405
Zfp563,Rer1,ENSG00000157916
Fbxo21,Slc39a8,ENSG00000138821
Mterf1a,Dusp28,ENSG00000188542
Rnf182,Lrrc1,ENSG00000137269
Prrc2c,Slc43a3,ENSG00000134802
Slc34a2,Rpl38,ENSG00000172809
Fuca2,Tmem59,ENSG00000116209
Mpv17l,Lrrc14b,ENSG00000185028
Cd37,Tmem191c,ENSG00000278558
Klf8,Tmem191c,ENSG00000206140
Atp5k,Izumo4,ENSG00000099840
Fam124b,Endou,ENSG00000111405
Nnmt,Gss,ENSG00000100983
Pop7,Chmp4c,ENSG00000164695
Ywhah,S100a13,ENSG00000189171
Brox,Sorcs1,ENSG00000108018
Bcl11a,P2ry1,ENSG00000169860
F2rl1,Ggact,ENSG00000134864
Zfp366,Cspp1,ENSG00000104218
Cenpl,Gpr34,ENSG00000171659
Heatr3,Ttc23,ENSG00000103852
Tspan18,Rab3a,ENSG00000105649
Tmem251,Erg,ENSG00000157554
Htatip2,Stra13,not found
Rab15,Eea1,ENSG00000102189
Stard10,Xist,not found
Ep300,Rbfox3,ENSG00000167281
Scube3,Mcam,ENSG00000076706
Pex12,Card9,ENSG00000187796
Aoah,Cggbp1,ENSG00000163320
Rell1,Plcg2,ENSG00000197943
Lins,Stam2,ENSG00000115145
2410006H16Rik,Scamp5,ENSG00000198794
Stk38,Zcchc4,ENSG00000168228
Pygo1,Wdr20,ENSG00000140153
Kif22,C3ar1,ENSG00000171860
Tbkbp1,2810403D21Rik,not found
Mark4,Igfbp4,ENSG00000141753
Lrrc9,Evi5l,ENSG00000142459
Ankrd52,Cdh3,ENSG00000062038
Ide,Rnf144b,ENSG00000137393
Thap6,Smarca1,ENSG00000102038
Ebag9,Lcn2,ENSG00000148346
Ccdc132,Atf5,ENSG00000169136
Mmp13,Thnsl1,ENSG00000185875
Strip1,Fbln1,ENSG00000077942
Xkrx,Tacc2,ENSG00000138162
Rcan1,Epb4.1l2,ENSG00000079819
Snrnp27,Gan,ENSG00000261609
Rbx1,Acat2,ENSG00000167780
Ilf2,Slc25a38,ENSG00000144659
Btbd1,Csnk1d,ENSG00000141551
Pitpna,Ankdd1b,ENSG00000189045
Fkbp7,Ptprt,ENSG00000196090
Krt19,Il16,ENSG00000172349
Adamts5,Tert,ENSG00000164362
Ipo5,Amigo2,ENSG00000139211
Ovca2,Map3k12,ENSG00000139625
Fam171b,Ctdp1,ENSG00000060069
Ampd3,Rbm19,ENSG00000122965
Gm21541,Urah,not found
Gm10591,Tmx2,ENSG00000213593
Tmem221,Simc1,ENSG00000170085
Epdr1,Dus3l,ENSG00000141994
Mdh1,Ndufaf3,ENSG00000178057
Tcf19,Nr6a1,ENSG00000148200
Actr8,Cd59a,ENSG00000085063
Lyve1,Aldh3a1,ENSG00000108602
Gpc6,Card6,ENSG00000132357
Six4,Pcdh9,ENSG00000184226
Lrrc75b,Prkd3,ENSG00000115825
Zfp292,Tmem200b,ENSG00000253304
2700060E02Rik,Gad1,ENSG00000128683
Pbdc1,Rpusd4,ENSG00000165526
Herc4,Fscn1,ENSG00000075618
Alg10b,LOC100861615,error - retries exceeded
Mri1,Ccdc94,ENSG00000105248
Fam20b,Ankib1,ENSG00000001629
Gt(ROSA)26Sor,Hdac9,ENSG00000048052
Pcdhb9,Rps10,ENSG00000124614
Sacm1l,Bcat2,ENSG00000105552
Sdccag3,Mettl15,ENSG00000169519
Slc25a20,Smco3,ENSG00000179256
Fgd1,Taok1,ENSG00000160551
Zbtb7a,Ret,ENSG00000165731
Ints8,B3gnt3,ENSG00000179913
Prkaa2,Eid2b,ENSG00000176401
Tbc1d9,Sult1a1,not found
Zap70,Fhod3,ENSG00000134775
Egfr,Slc25a29,ENSG00000197119
Usp43,Nol9,ENSG00000162408
Ntan1,Chst11,ENSG00000171310
Ppcs,Gkap1,ENSG00000165113
C330027C09Rik,Ubn1,ENSG00000118900
Golm1,Myo1f,ENSG00000142347
Dnajc3,Luc7l,ENSG00000007392
Rad51d,Wwc1,ENSG00000113645
Cyb561,Hiat1,ENSG00000156875
Tm2d2,Ing2,ENSG00000168556
2810055G20Rik,Arhgef9,ENSG00000131089
Gm6377,Usp32,ENSG00000170832
Uri1,Usp32,ENSG00000129204
Zbtb8os,Mboat1,ENSG00000172197
Mxd4,Ivns1abp,ENSG00000116679
Slc8a3,Selt,ENSG00000198843
Zscan25,Yy2,ENSG00000012174
Wasl,Cnksr2,ENSG00000149970
Map3k6,4833422C13Rik,not found
Col1a1,Smco1,ENSG00000214097
Hn1,Mkl1,ENSG00000196588
Pigb,Pphln1,ENSG00000134283
Socs6,Camkk1,ENSG00000004660
Nfat5,Wdr53,ENSG00000185798
1110019D14Rik,Stk19,ENSG00000204344
Ube2i,Rhbg,ENSG00000132677
Opa3,Mfn2,ENSG00000116688
Lrsam1,Eif2b5,ENSG00000145191
Agbl3,Arntl,ENSG00000133794
St6gal1,Dgat1,ENSG00000185000
Mknk1,Fam73a,ENSG00000180488
Ccdc163,Prickle4,ENSG00000278224
1700030K09Rik,9430016H08Rik,ENSG00000162972
Zfp580,Hnrnpc,ENSG00000179412
Ppp1r18,Hnrnpc,ENSG00000277058
Ccl21c,Hnrnpc,ENSG00000275774
Gm13304,Hnrnpc,ENSG00000179172
Wipi1,Hnrnpc,ENSG00000092199
Zbtb12,Gpatch3,ENSG00000198746
Lrrc28,Mical3,ENSG00000243156
Tmcc2,Slc35a2,ENSG00000102100
Mgat4a,Trappc2l,ENSG00000167515
Ccdc85a,Fastk,ENSG00000164896
Mrpl54,Fam124a,ENSG00000150510
Tbc1d4,Kif13a,ENSG00000137177
Tuba1a,Ezh1,ENSG00000108799
2410004I01Rik,Stac,ENSG00000144681
Zfp111,Sepw1,ENSG00000178980
Leo1,Nckap1l,ENSG00000123338
Asap2,Reps2,ENSG00000169891
Fdx1,Gbp5,ENSG00000154451
Calr3,Prr11,ENSG00000068489
Fignl2,Slc17a5,ENSG00000119899
Wbp5,Mterfd2,ENSG00000122085
Gda,H2afx,ENSG00000188486
Supt4a,Maml2,ENSG00000184384
Ppp1r3f,Nt5c3,ENSG00000122643
Batf2,Gdpgp1,ENSG00000183208
Tet2,Oaz1-ps,not found
Tmem135,Cd69,ENSG00000110848
1110059G10Rik,A830080D01Rik,ENSG00000173681
Chac1,Nudt4,ENSG00000177144
Ppfia3,Nudt4,ENSG00000173598
Cep120,Ciapin1,ENSG00000005194
Atp6v1a,Tmem222,ENSG00000186501
Entpd5,Btbd6,ENSG00000184887
Aip,Coa3,ENSG00000183978
Mtss1l,Tax1bp3,ENSG00000213977
Nipal3,Fuca1,ENSG00000179163
Intu,Stk40,ENSG00000196182
Srxn1,Zbtb26,ENSG00000171448
Gnmt,Asb7,ENSG00000183475
Zfp597,Mlph,ENSG00000115648
Dynlrb1,Galnt15,ENSG00000131386
Carhsp1,Fam57a,ENSG00000167695
Pisd,Ints7,ENSG00000143493
Por,Dars,ENSG00000115866
Frem2,Malat1,not found
Fkbp1b,Zfp563,not found
Ttc14,S1pr2,ENSG00000267534
Gm166,Got1,ENSG00000120053
Man2a2,Mterf1a,ENSG00000127989
Psmb6,Tmem108,ENSG00000144868
Bod1,Rnf182,ENSG00000180537
Lrrc27,Pigc,ENSG00000135845
Cks2,Fbxo21,ENSG00000135108
Rpl37a,Slc34a2,ENSG00000157765
Pitpnm3,Mcoln3,ENSG00000055732
Aprt,Fam124b,ENSG00000124019
St3gal4,Nnmt,ENSG00000166741
Arhgef37,Fuca2,ENSG00000001036
Trim56,Cd37,ENSG00000104894
B230206H07Rik,Prrc2c,ENSG00000117523
Ppil2,Ywhah,ENSG00000128245
Tyw5,Mpv17l,ENSG00000156968
Rnft1,Pop7,ENSG00000172336
Riiad1,Atp5k,ENSG00000169020
Gm4070,Klf8,ENSG00000102349
Rnf125,Htatip2,ENSG00000109854
Acap3,Tmem251,ENSG00000153485
Upf1,Brox,ENSG00000162819
Id4,Cenpl,ENSG00000120334
9930111J21Rik1,F2rl1,ENSG00000164251
Recql4,Zfp366,ENSG00000178175
Hpgds,D830031N03Rik,error - retries exceeded
Pgpep1,Bcl11a,ENSG00000119866
Bsn,Heatr3,ENSG00000155393
Jade2,2410006H16Rik,not found
Efcab4a,Tspan18,ENSG00000157570
Rab27b,Rell1,ENSG00000181826
Ces1g,Rab15,ENSG00000139998
Zfp108,Scube3,ENSG00000146197
Cs,Aoah,ENSG00000136250
Scaf4,Lins,ENSG00000140471
Itpr3,Pex12,ENSG00000108733
Pclo,Pygo1,ENSG00000171016
Wdr83,Thap6,not found
Casp4,Stard10,ENSG00000214530
Arhgef5,Stk38,ENSG00000112079
Agtrap,Ep300,ENSG00000100393
Gfm1,Kif22,ENSG00000079616
Myo1b,Ebag9,ENSG00000147654
Rbm4b,Mmp13,ENSG00000137745
Trim33,Lrrc9,ENSG00000131951
Sla,Ide,ENSG00000119912
AI464131,Mark4,ENSG00000007047
Fam214a,Snrnp27,not found
Tomm7,Tbkbp1,ENSG00000198933
Rab5a,Ccdc132,ENSG00000004766
Clcf1,Ankrd52,ENSG00000139645
Picalm,Xkrx,ENSG00000182489
Mthfs,Ilf2,ENSG00000143621
Fam203a,Strip1,ENSG00000143093
Rpap1,Rbx1,ENSG00000100387
Atl1,Rcan1,ENSG00000159200
Mgea5,Btbd1,ENSG00000064726
Zfp566,Adamts5,ENSG00000154736
Bok,Gm10591,ENSG00000137077
Cep131,Gm21541,ENSG00000137077
Maea,Ovca2,ENSG00000262664
Sh3tc1,Fkbp7,ENSG00000079150
Braf,Tmem221,ENSG00000188051
Txn1,Pitpna,ENSG00000174238
Gpc4,Krt19,ENSG00000171345
Tbx5,Ipo5,ENSG00000065150
Ubxn2a,Tcf19,ENSG00000137310
Tspyl2,Fam171b,ENSG00000144369
Ttc32,Lrrc75b,ENSG00000178026
Acox1,Actr8,ENSG00000113812
Wdr74,Ampd3,ENSG00000133805
Clp1,Mdh1,ENSG00000014641
