Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Gcfc2,Farp1,ENSG00000152767
Lyz2,Zc3h12c,ENSG00000149289
Tufm,2510039O18Rik,ENSG00000116685
Agr3,Capg,ENSG00000042493
Snx27,Akap8l,ENSG00000011243
Hsph1,Ccnh,ENSG00000134480
Maged2,Cd81,ENSG00000110651
Zfp553,Daam2,ENSG00000146122
Slc25a15,Myh14,ENSG00000105357
Otub2,Cldn7,ENSG00000181885
Zfp51,Galnt3,ENSG00000115339
2010204K13Rik,Zfp384,ENSG00000126746
Nbas,Stx18,ENSG00000168818
Usf1,Per1,ENSG00000179094
Nup88,Fat3,ENSG00000165323
Gpx2,Nrg1,ENSG00000286131
Cst8,Cdc42bpb,ENSG00000198752
Ckmt2,Farsa,ENSG00000179115
Ccbe1,Alox5ap,ENSG00000132965
Stx4a,Car3,ENSG00000164879
Nrcam,Dlg5,ENSG00000151208
Lbr,Papss2,ENSG00000198682
Gm11974,Tmem135,ENSG00000166575
Rpl23a,Rsrc1,ENSG00000174891
Zfp74,Slc7a5,ENSG00000103257
Decr2,Exosc6,ENSG00000223496
Ikzf3,Creb3l1,ENSG00000157613
Crebrf,Suclg1,ENSG00000163541
Snrnp25,Cmtm8,ENSG00000170293
Chaf1a,Agl,ENSG00000162688
Cpa3,Elf2,ENSG00000109381
Ephx4,Zbtb17,ENSG00000116809
Tpsb2,Emc8,ENSG00000131148
Mettl25,Rgs17,ENSG00000091844
2310011J03Rik,Trappc9,ENSG00000167632
Hccs,Rhbdf2,ENSG00000129667
Slc20a1,Slc35b2,ENSG00000157593
Lenep,Syn3,ENSG00000185666
Tmem125,Plcb3,ENSG00000149782
Trnt1,Mtmr10,ENSG00000166912
Aqp11,Pigs,ENSG00000087111
Kcnd1,Mybl1,ENSG00000185697
Calu,Atp11a,ENSG00000068650
Dnttip2,Ghitm,ENSG00000165678
Lamtor2,Fstl1,ENSG00000163430
B3galt1,Ankrd50,ENSG00000151458
Senp2,Colec11,ENSG00000118004
Kif2a,Ero1l,ENSG00000197930
Cnih1,Shisa4,ENSG00000198892
Pkhd1,AI464131,ENSG00000164976
St8sia1,Por,ENSG00000127948
Atp6v0a4,Tgfa,ENSG00000163235
Rbm20,Mtm1,ENSG00000171100
Pin1,Plxdc2,ENSG00000120594
Rhpn1,Ankrd13c,ENSG00000118454
Xrn2,Mxd4,ENSG00000123933
Tecpr2,Cyr61,ENSG00000142871
Hsf1,Dnah8,ENSG00000124721
Prdx2,Cacfd1,ENSG00000160325
Usp49,Rhou,ENSG00000116574
Aaed1,Whsc1l1,ENSG00000147548
Hsd17b11,Nadk2,ENSG00000152620
Cope,Plekhm3,ENSG00000178385
Txk,Prkrip1,ENSG00000128563
Ikbkb,Trappc8,ENSG00000153339
Tubb1,Esd,ENSG00000139684
Zyg11b,Raph1,ENSG00000173166
Dock7,Tspan15,ENSG00000099282
Fam160a1,Slc22a23,ENSG00000137266
Armc2,Dlst,ENSG00000119689
Poc1b,Ear2,ENSG00000160113
Hras,Nr2f6,ENSG00000160113
Atp11a,Apcdd1,ENSG00000154856
Fbxl21,Pdgfra,ENSG00000134853
Irf3,Zfp777,ENSG00000196453
Dock2,Rps2,ENSG00000140988
Ldoc1l,Rfc2,ENSG00000049541
Spc24,Nr4a1,ENSG00000123358
Ankrd17,Fth1,ENSG00000167996
Elmo3,Cyb5r1,ENSG00000159348
Elf1,Ssr2,ENSG00000163479
Snhg3,Psmg3,ENSG00000157778
Rfc3,Ngfr,ENSG00000064300
Mettl24,Aamdc,ENSG00000087884
Plin5,Tubb1,ENSG00000101162
Arhgef7,Hsf2,ENSG00000025156
Psmd2,Arvcf,ENSG00000099889
Nae1,Sike1,ENSG00000052723
Zfp655,Sdhb,ENSG00000117118
Dph6,Brix1,ENSG00000113460
Camk2a,Timm50,ENSG00000105197
Papolg,Dpysl4,ENSG00000151640
Cnot10,Slc48a1,ENSG00000211584
Tcaim,Ephb6,ENSG00000106123
Slc47a1,Zdhhc20,ENSG00000180776
Parvb,Tppp,ENSG00000171368
Hps6,Aak1,ENSG00000115977
Ids,Ptk7,ENSG00000112655
Kcp,Pxdc1,ENSG00000168994
3830406C13Rik,Glcci1,ENSG00000106415
Clec14a,Ophn1,ENSG00000079482
Nsg2,Pvrl4,ENSG00000143217
Rsad2,Ccdc93,ENSG00000125633
Snhg6,Sptlc1,ENSG00000090054
Thra,Bbs7,ENSG00000138686
Ube2v1,Fam126a,ENSG00000122591
Rabgap1l,Cldn5,ENSG00000184113
Alas1,Taf10,ENSG00000166337
Fam83e,Ppp1r13b,ENSG00000088808
Emc9,B4galt7,ENSG00000027847
Sp140,Lypla1,ENSG00000120992
Rfxap,Elac1,ENSG00000141642
Rps11,Agtr2,ENSG00000180772
Ppp6c,Chtf8,ENSG00000168802
Ccng1,Col1a1,ENSG00000108821
Mrpl18,Dek,ENSG00000124795
Peg13,Dhx9,ENSG00000135829
Fpgt,Pdrg1,ENSG00000088356
Tgfb2,Brox,ENSG00000162819
C130080G10Rik,Rims2,ENSG00000176406
Kcnj5,Stxbp3a,ENSG00000116266
Pik3r1,Tbc1d30,ENSG00000111490
Ranbp17,Elovl4,ENSG00000118402
Mr1,Tmem50a,ENSG00000183726
Tmem33,Alas1,ENSG00000023330
Disp2,Slc20a2,ENSG00000168575
Zc3h10,Gab2,ENSG00000033327
Rassf10,Mthfd2,ENSG00000065911
Anp32b,Plek,ENSG00000115956
Lipe,Cldn25,ENSG00000080822
Exoc5,Uck1,ENSG00000130717
2810008D09Rik,Ptpro,ENSG00000151490
Gdi2,Sh3bp4,ENSG00000130147
Hyal2,Slc9a3r2,ENSG00000065054
Sp3os,Ets2,ENSG00000157557
Pip4k2c,Peli3,ENSG00000174516
Slc30a9,Rps6ka2,ENSG00000071242
Acy1,Ccdc158,ENSG00000163749
Sep-10,Tmem165,ENSG00000134851
Peli2,Fabp4,ENSG00000170323
Spen,Srp19,ENSG00000153037
Slc38a4,Nfkb2,ENSG00000077150
1190002N15Rik,Ankrd54,ENSG00000100124
Adh5,Yaf2,ENSG00000015153
Glmn,Tmem65,ENSG00000164983
Lrfn1,Unc119,ENSG00000109103
Slamf9,Rsph9,ENSG00000172426
Tsr3,Ncoa6,ENSG00000198646
S100g,Ptpn14,ENSG00000152104
Lrrc17,Sidt1,ENSG00000072858
Crot,Tle2,ENSG00000065717
Il18,Nufip2,ENSG00000108256
Polh,Aldh4a1,ENSG00000159423
Rest,Zbtb7b,ENSG00000160685
Rnf186,Gata4,ENSG00000136574
Sdf4,Rassf8,ENSG00000123094
Klhl8,Smc2,ENSG00000136824
Glrx5,C87436,ENSG00000115998
Slc7a8,Scap,ENSG00000114650
Tmc6,Zdhhc8,ENSG00000099904
B4galnt1,2510003E04Rik,ENSG00000198954
Snrpg,Cyth4,ENSG00000100055
Smu1,Trim36,ENSG00000152503
Mrpl14,Rnf10,ENSG00000022840
Cotl1,Glod4,ENSG00000167699
Ahr,D17Wsu92e,ENSG00000196821
Snrnp35,Garnl3,ENSG00000136895
Snrpb,Helz,ENSG00000198265
Rasgef1b,Nt5dc3,ENSG00000111696
Champ1,Slc20a1,ENSG00000144136
Bri3,Zfc3h1,ENSG00000133858
Ap3s2,Krr1,ENSG00000111615
Zbed4,Trim37,ENSG00000108395
Il20rb,Eif2b3,ENSG00000070785
Rab37,Zswim4,ENSG00000132003
Rnf103,Anxa4,ENSG00000196975
Pnkp,Sh3bgrl2,ENSG00000198478
Ccdc32,Atp6v0a2,ENSG00000185344
Itga9,Ccne2,ENSG00000175305
Rccd1,Asf1b,ENSG00000105011
Zfp41,Kansl1,ENSG00000120071
Api5,Dscr3,ENSG00000157538
Nme4,Trmt11,ENSG00000066651
Sgms1,Prr5l,ENSG00000135362
Ifltd1,Smg7,ENSG00000116698
Ccl25,St8sia1,ENSG00000111728
Impdh2,Lrrc75a,ENSG00000181350
Adck2,Atp6v1c2,ENSG00000143882
Hoxb8,Wasf2,ENSG00000158195
Gm15441,Bag6,ENSG00000204463
Lancl2,Tbc1d9b,ENSG00000197226
Cnbp,Apbb3,ENSG00000113108
Nudt19,Hcn2,ENSG00000099822
1700026L06Rik,Bpnt1,ENSG00000162813
B3galt6,Rrad,ENSG00000166592
Ephb3,Zc3h4,ENSG00000130749
Rap2c,Eif5b,ENSG00000158417
Cyb5d1,Dis3l,ENSG00000166938
Cd9,Nup98,ENSG00000110713
Ppard,Wwc1,ENSG00000113645
Plch2,Tpm1,ENSG00000140416
Il1rap,Cacna1i,ENSG00000100346
Cdc73,Tnrc6a,ENSG00000090905
Lap3,Park7,ENSG00000116288
Actr1b,Sh2b1,ENSG00000178188
Dhrs7b,Tsc2,ENSG00000103197
Mettl16,Vta1,ENSG00000009844
Il22ra1,Fam46b,ENSG00000158246
Pdlim2,Elmo2,ENSG00000062598
4930452B06Rik,Gnmt,ENSG00000124713
Exosc5,2610001J05Rik,ENSG00000214194
Ctnnbl1,Chrm3,ENSG00000133019
Nfkb1,Kdm3a,ENSG00000115548
Ctnna3,Cdkl4,ENSG00000205111
Sult2b1,Edar,ENSG00000135960
Rps14,Rrm2,ENSG00000171848
Rbm45,Pcyt2,ENSG00000185813
As3mt,Paqr5,ENSG00000137819
Hjurp,Rars,ENSG00000113643
2810013P06Rik,Nim1k,ENSG00000177453
Ppan,Tmem150a,ENSG00000168890
Ssb,Avl9,ENSG00000105778
Lrp2bp,Banp,ENSG00000172530
Cdca3,Micu3,ENSG00000155970
Pdha1,1810011O10Rik,ENSG00000176907
Slc38a9,Dixdc1,ENSG00000150764
Trim11,Ttc39a,ENSG00000085831
Crtc3,Htr2a,ENSG00000102468
Ddc,Sgms2,ENSG00000164023
Ccl27a,Slc6a15,ENSG00000072041
Prkce,5430417L22Rik,ENSG00000259330
Zfp112,Cdyl2,ENSG00000166446
Ppp4r4,Lpar3,ENSG00000171517
Arhgef1,Sec24c,ENSG00000176986
Sema3b,Nr1h3,ENSG00000025434
Rtf1,Prdm15,ENSG00000141956
Polr1b,Srebf2,ENSG00000198911
Ewsr1,Pde2a,ENSG00000186642
Dyrk3,Mpdu1,ENSG00000129255
Tpm4,Syk,ENSG00000165025
Rdh5,Zbtb25,ENSG00000089775
Zfp568,Osbpl10,ENSG00000144645
Hey2,Tmco1,ENSG00000143183
Cxcl15,Selk,ENSG00000113811
Eif1ad,Atp5g2,ENSG00000135390
Diexf,Zfhx4,ENSG00000091656
Gm684,Ano1,ENSG00000131620
Zfp93,Plxnd1,ENSG00000004399
Zhx1,Lancl1,ENSG00000115365
Lgr4,Arhgef10l,ENSG00000074964
Sema3a,Arhgap10,ENSG00000071205
Cdh6,Ablim2,ENSG00000163995
Tmem254c,Agk,ENSG00000006530
Commd8,Scin,ENSG00000006747
Fcgr2b,Plod3,ENSG00000106397
Pus7,Adprhl2,ENSG00000116863
Hs1bp3,Ak5,ENSG00000154027
Utp15,Irx1,ENSG00000170549
Gm14327,Sesn2,ENSG00000130766
Paics,Tcf15,ENSG00000125878
Pan3,Abhd12,ENSG00000100997
Zfp445,Ocrl,ENSG00000122126
Cbll1,Soga1,ENSG00000149639
Prrx1,C330007P06Rik,ENSG00000018610
Mob3b,Ccar2,ENSG00000158941
Mettl5,Ppm1b,ENSG00000138032
Dcun1d4,Nyap1,ENSG00000166924
Cep135,Garem,ENSG00000141441
Marveld2,Wdr70,ENSG00000082068
Osgepl1,Adk,ENSG00000156110
Cpz,Rnf44,ENSG00000146083
Scrn1,Zfp398,ENSG00000197024
Hace1,Osbpl3,ENSG00000070882
Epn1,Rasgrf2,ENSG00000113319
Sri,Agr2,ENSG00000106541
Ttll9,Creld1,ENSG00000163703
Tsga10,Immp2l,ENSG00000184903
Fam161b,Cycs,ENSG00000172115
Dbp,Atad2b,ENSG00000119778
Zcchc17,Adrbk2,ENSG00000100077
Gm11992,Scaf8,ENSG00000213079
Uox,Snx21,ENSG00000124104
Kif21b,Rfx1,ENSG00000132005
Ndufa5,Gdf5,ENSG00000125965
Atp6v0d1,Dnah17,ENSG00000187775
Zscan29,Pop5,ENSG00000167272
Pmel,Tmx3,ENSG00000166479
Pi4k2a,Ralgapa2,ENSG00000188559
Myo16,Pard6b,ENSG00000124171
Id3,B4galt2,ENSG00000117411
Ctdspl,Rbbp9,ENSG00000089050
Rbm43,Stk17b,ENSG00000081320
Impact,Slc35a1,ENSG00000164414
Nxt1,Apeh,ENSG00000164062
Wdr18,Cldn12,ENSG00000157224
Nudcd2,Snupn,ENSG00000169371
Fam134b,Slc43a2,ENSG00000167703
Fes,Frzb,ENSG00000162998
Gnal,Chsy3,ENSG00000198108
Sftpa1,Rapgef6,ENSG00000158987
Slc22a15,3110057O12Rik,ENSG00000164074
Ncoa1,Mcoln1,ENSG00000090674
Cebpg,Msrb1,ENSG00000198736
Rbm12,Fbxo46,ENSG00000177051
Dctn4,Arhgap33,ENSG00000004777
Vrk1,Etfb,ENSG00000105379
Slc36a1,Fam222a,ENSG00000139438
Slc9a6,Fat4,ENSG00000196159
Strip2,Kcnk3,ENSG00000171303
Rpl23,Btbd10,ENSG00000148925
1500004A13Rik,Ano10,ENSG00000160746
Zc3h4,Sik2,ENSG00000170145
Lrrc29,Spag6,ENSG00000077327
Mtmr9,Hdac11,ENSG00000163517
Gm12070,Nup107,ENSG00000111581
Spire2,Tmem163,ENSG00000152128
Ccdc47,Adpgk,ENSG00000159322
Ntpcr,Myl6b,ENSG00000196465
Zfp932,Slc35d3,ENSG00000182747
Prex2,Cdc45,ENSG00000093009
AI504432,Cdk12,ENSG00000167258
Zfp687,Ints12,ENSG00000138785
Gde1,Fam117b,ENSG00000138439
9330182L06Rik,Fnip1,ENSG00000217128
Ltk,Plod1,ENSG00000083444
Ncam1,Cebpg,ENSG00000153879
Aff1,Pdgfa,ENSG00000197461
Rabl6,Poglut1,ENSG00000163389
1810030O07Rik,Camkk2,ENSG00000110931
Nkrf,Edem1,ENSG00000134109
Sox11,Dhrs7c,ENSG00000184544
Syt3,Hs6st2,ENSG00000171004
Nsun2,Pex13,ENSG00000162928
Copb2,Nup85,ENSG00000125450
Khdrbs1,Sik3,ENSG00000160584
Wnt11,Baz1b,ENSG00000009954
Oraov1,Pkn1,ENSG00000123143
Rab2a,Zhx1,ENSG00000165156
Zfp9,Loxl1,ENSG00000129038
Fahd1,Nrip3,ENSG00000175352
Dnajc9,Dennd6b,ENSG00000205593
Rrp7a,Pgm1,ENSG00000079739
C3,Pgm2,ENSG00000079739
Arglu1,Dstyk,ENSG00000133059
Toporsos,Bag5,ENSG00000166170
Oma1,Atp5c1,ENSG00000165629
Ephb4,Uqcc2,ENSG00000137288
Mia3,Pno1,ENSG00000115946
Cttnbp2,Ablim1,ENSG00000099204
Eif2a,Cemip,ENSG00000103888
Ahi1,Sft2d2,ENSG00000213064
Net1,Col4a5,ENSG00000188153
S1pr5,Ect2,ENSG00000114346
AU040320,Tbc1d15,ENSG00000121749
Gmfb,Eif4g1,ENSG00000114867
B4galt4,Rgs19,ENSG00000171700
Siglecg,Med15,ENSG00000099917
Zfp69,Larp6,ENSG00000166173
C1galt1c1,Tubgcp2,ENSG00000130640
Ccdc71,Tmem245,ENSG00000106771
Tor3a,Itga6,ENSG00000091409
Nmi,Pmpca,ENSG00000165688
Focad,Zfp532,ENSG00000074657
Tigd3,P4htm,ENSG00000178467
Twist2,Sipa1l2,ENSG00000116991
Kctd3,Ero1lb,ENSG00000086619
Zfand4,Actn4,ENSG00000130402
Bsdc1,Trim63,ENSG00000158022
Colec10,Zfp746,ENSG00000181220
Tgs1,Poldip3,ENSG00000100227
6530402F18Rik,Pag1,ENSG00000182752
Zmynd8,Pappa,ENSG00000182752
Itgb1bp2,Cadm3,ENSG00000162706
Trim2,Kdf1,ENSG00000175707
E430018J23Rik,Prkacb,ENSG00000142875
Wsb2,Gars,ENSG00000106105
Gmeb2,Lims2,ENSG00000072163
Dach1,Fam134c,ENSG00000141699
Selo,Bri3,ENSG00000164713
Mob2,Sft2d1,ENSG00000198818
Eya2,Cxcr4,ENSG00000121966
Scfd2,Pnpt1,ENSG00000138035
Skida1,Pou2f2,ENSG00000028277
Cdk18,Sipa1l3,ENSG00000105738
Mybpc3,Ept1,ENSG00000138018
Skp2,P4ha2,ENSG00000072682
Gprc5c,Rassf3,ENSG00000153179
Sec31b,Alkbh6,ENSG00000239382
Tpm3,Aig1,ENSG00000146416
Ccdc126,Mapk7,ENSG00000166484
Atp13a1,Sh3pxd2a,ENSG00000107957
Fbxo5,Neurl1b,ENSG00000214357
Wdr46,Sema4f,ENSG00000135622
Zufsp,Gbe1,ENSG00000114480
Rprm,Ddx55,ENSG00000111364
Fam134c,Agpat1,ENSG00000204310
Bcl11b,Csgalnact1,ENSG00000147408
D430036J16Rik,Bsdc1,ENSG00000160058
Pmpca,Bmp2,ENSG00000125845
Kdm3b,Rgs10,ENSG00000148908
Tslp,Ptplad1,ENSG00000074696
Hic2,Cndp2,ENSG00000133313
Mtcl1,Tube1,ENSG00000074935
Ddx5,Glt25d1,ENSG00000130309
C030006K11Rik,Zdhhc13,ENSG00000177054
Chodl,Ppard,ENSG00000112033
Naip2,Fhit,ENSG00000189283
Tusc5,Pld1,ENSG00000075651
Ncs1,Speg,ENSG00000072195
Fndc3a,Dpm1,ENSG00000000419
Gm16386,Tpra1,ENSG00000163870
Mylip,Ndufa7,ENSG00000267855
Tbca,Tbp,ENSG00000112592
Naa50,Sec31a,ENSG00000138674
Cdh2,Smpd3,ENSG00000103056
Rab10,Ralbp1,ENSG00000017797
Ruvbl1,Sucla2,ENSG00000136143
Ptprg,Atf1,ENSG00000123268
Abca17,Tgds,ENSG00000088451
4933427D14Rik,Mcoln3,ENSG00000055732
Spcs2,Pigk,ENSG00000142892
Trp73,Sqstm1,ENSG00000161011
Mrgprf,Igfbp7,ENSG00000163453
Kcnh3,Pdcd7,ENSG00000090470
Gp1ba,Slc9a2,ENSG00000115616
6030408B16Rik,Arnt,ENSG00000143437
Tbcc,Dis3,ENSG00000083520
Lrr1,4930506M07Rik,ENSG00000187164
Btf3l4,Mettl21e,ENSG00000250878
Recql5,Dcun1d2,ENSG00000150401
Me1,Gpr21,ENSG00000188394
Nr2f6,Nxf1,ENSG00000162231
Slc16a9,Clip2,ENSG00000106665
Stx12,Fggy,ENSG00000172456
Grip1,Otud7b,ENSG00000264522
Tmem19,Sltm,ENSG00000137776
Lrrc8b,Gtf2f1,ENSG00000125651
Plekhn1,Clic3,ENSG00000169583
Fam171a2,Slc41a2,ENSG00000136052
Fam185a,Dmd,ENSG00000198947
Jund,Krt8,ENSG00000170421
Mrpl57,Medag,ENSG00000102802
Nsmce2,Slc38a9,ENSG00000177058
Sart1,Impad1,ENSG00000104331
Zfp846,Glrx5,ENSG00000182512
Gnl3l,Uxt,ENSG00000126756
Kcnq4,Dcaf5,ENSG00000139990
Tbcel,Gpsm2,ENSG00000121957
Donson,Gga1,ENSG00000100083
Ifi204,Fam214b,ENSG00000005238
Fam72a,Nfkbil1,ENSG00000204498
E2f3,Fbxo9,ENSG00000112146
Mbd1,Hibadh,ENSG00000106049
Guk1,Bckdhb,ENSG00000083123
Bnip1,Ap4b1,ENSG00000134262
Fhdc1,Fndc3a,ENSG00000102531
Elmo1,Mtdh,ENSG00000147649
Itpka,Zfp46,ENSG00000125945
Mdm4,Kmt2a,ENSG00000118058
Ttll13,Hkdc1,ENSG00000156510
Spast,Dhps,ENSG00000095059
Lrguk,Stambpl1,ENSG00000138134
Exoc6b,Aplnr,ENSG00000134817
Spata17,Dkc1,ENSG00000130826
Cd93,Gnal,ENSG00000141404
Parp3,Atic,ENSG00000138363
Arf5,Metap1d,ENSG00000172878
Wdr81,Anp32e,ENSG00000143401
Lad1,Smim20,ENSG00000250317
Mras,Slc12a7,ENSG00000113504
4930550C14Rik,Ubap1,ENSG00000165006
Usp9x,1110004E09Rik,ENSG00000159079
Arhgap26,Synj2bp,ENSG00000213463
Agpat2,Grwd1,ENSG00000105447
Dyrk1b,Nadk,ENSG00000008130
Gprc6a,Grhl3,ENSG00000158055
Tbx4,Zmynd11,ENSG00000015171
Ntng2,Nfs1,ENSG00000244005
Timm10,Minos1,ENSG00000173436
Gm3435,6330419J24Rik,ENSG00000196972
Vmn2r29,Nkx2-1,ENSG00000136352
Fam129b,Susd4,ENSG00000143502
Pacsin1,Nr1d2,ENSG00000174738
Spry4,Arhgap12,ENSG00000165322
Camkk2,Ptpn23,ENSG00000076201
Cd302,Fchsd1,ENSG00000197948
Phkg2,Praf2,ENSG00000243279
Adssl1,Tmc7,ENSG00000170537
Tbc1d7,Trp53bp2,ENSG00000143514
Fam160b2,Trp53i11,ENSG00000175274
Zbtb17,Trmt61a,ENSG00000166166
Luc7l2,Col9a2,ENSG00000049089
Naa60,Slc25a35,ENSG00000125434
Plau,Efcab1,ENSG00000034239
Casc5,Srpk1,ENSG00000096063
Kcnj10,St6galnac6,ENSG00000160408
Sigirr,Colq,ENSG00000206561
Rpl18,Bcl10,ENSG00000142867
Cd28,Pcnx,ENSG00000100731
Vps39,Wdr3,ENSG00000065183
Xpo7,Slc35d1,ENSG00000116704
Tyms,Trim72,ENSG00000177238
Plbd2,Tmem25,ENSG00000149582
Pja2,Gpaa1,ENSG00000197858
Ppp1r14b,Ece2,ENSG00000145194
Gtpbp2,Rbck1,ENSG00000125826
Dapk2,Pofut1,ENSG00000101346
Zmym4,Egr1,ENSG00000120738
Slc7a1,Tes,ENSG00000135269
Syne3,Fam107a,ENSG00000168309
Tmem129,Col6a2,ENSG00000142173
Lamb3,Lztfl1,ENSG00000163818
Ubald1,Tmem38a,ENSG00000072954
Wfdc1,Pogk,ENSG00000143157
Cntn6,Map4k4,ENSG00000071054
Adam8,Atp6v0c,ENSG00000185883
Psmc3,Slc25a33,ENSG00000171612
Clec1a,Tor1a,ENSG00000136827
H60c,Agr3,ENSG00000173467
Pde1b,Hspa14,ENSG00000187522
Clu,Creb3l2,ENSG00000182158
Tusc1,Rufy1,ENSG00000176783
Pskh1,Commd4,ENSG00000140365
Dcaf7,Atg2b,ENSG00000066739
Pxk,Ntf5,ENSG00000225950
Stat1,Ppp4r4,ENSG00000119698
Tmem120a,Rgs9,ENSG00000108370
Abca9,Smg5,ENSG00000198952
Bid,Dnah2,ENSG00000183914
Ccpg1os,Mpp3,ENSG00000161647
Espl1,Slc35b4,ENSG00000205060
Zfp874b,Ccdc104,ENSG00000163001
Rlf,C2cd2l,ENSG00000172375
Arl2,Parvb,ENSG00000188677
Srsf7,Rnf130,ENSG00000113269
Rgs14,Hadhb,ENSG00000138029
Epn2,Exoc6,ENSG00000138190
Rmi1,Hip1r,ENSG00000130787
Tsen54,Whsc1,ENSG00000109685
9930014A18Rik,Cldn3,ENSG00000165215
Pprc1,Dcakd,ENSG00000172992
Kansl2,Pdlim4,ENSG00000131435
Brd1,Eif3b,ENSG00000106263
Cped1,Ppp1r14c,ENSG00000198729
Nlrp1a,Stradb,ENSG00000082146
Gal3st3,Tst,ENSG00000128311
Ostc,Tdrkh,ENSG00000182134
Vps37d,Tfpt,ENSG00000105619
Efhc1,Ncor1,ENSG00000141027
Lincrna-cox2,Rapgef3,ENSG00000079337
Rpp30,Tnni3k,ENSG00000116783
1810022K09Rik,Mtss1l,ENSG00000132613
Fam160a2,Crat,ENSG00000095321
Camkmt,Morc2a,ENSG00000133422
Slc35g1,Klhl42,ENSG00000087448
Smim7,Oat,ENSG00000065154
Smo,Jade2,ENSG00000043143
Ccl6,Rassf1,ENSG00000068028
Hoxa7,Babam1,ENSG00000105393
Ano10,Brap,ENSG00000089234
Ip6k2,Dph5,ENSG00000117543
Fam78b,Spsb2,ENSG00000111671
Card10,Gmcl1,ENSG00000087338
Sep-09,Hhatl,ENSG00000010282
Pcdhgb1,Klc3,ENSG00000104892
2900076A07Rik,Dennd2d,ENSG00000162777
Zbtb32,Fam3a,ENSG00000071889
Dgkh,Zmiz2,ENSG00000122515
Mycbp,Cldn2,ENSG00000165376
Lca5,Dhx29,ENSG00000067248
Taf10,Tceanc2,ENSG00000116205
Dtx2,Podn,ENSG00000174348
Aif1l,Myo1g,ENSG00000136286
Gpm6b,Ddx56,ENSG00000136271
Rbbp7,Hmbs,ENSG00000256269
Mrpl50,Nfkbia,ENSG00000100906
Bst2,Arhgef6,ENSG00000129675
Mnt,Phka2,ENSG00000044446
Tgfb1,Tug1,ENSG00000253352
Akap17b,Zzef1,ENSG00000074755
Rnf113a2,Cutc,ENSG00000119929
Rsbn1,Hk1,ENSG00000156515
Unc80,Clic5,ENSG00000112782
Rps12,Dnajc25,ENSG00000059769
Ptprs,Elmo3,ENSG00000102890
Atp10b,Dcaf15,ENSG00000132017
Cables1,R3hdm1,ENSG00000048991
Rcl1,Atxn2,ENSG00000204842
Abi3bp,Bend3,ENSG00000178409
Ttc3,Maf,ENSG00000178573
1700113A16Rik,Ift122,ENSG00000163913
Zfp740,N4bp3,ENSG00000145911
Phtf1os,Tpcn1,ENSG00000186815
Foxo3,Tprgl,ENSG00000158109
Mkrn2,Fbxl18,ENSG00000155034
Cebpa,Wdr16,ENSG00000166596
Kcnip4,Mrc2,ENSG00000011028
A930024E05Rik,Pxdn,ENSG00000130508
Adam22,Eftud1,ENSG00000140598
Hiatl1,Slc23a2,ENSG00000170482
Hdac1,Map1b,ENSG00000131711
Tbc1d2,Dmwd,ENSG00000185800
Sub1,Pomt2,ENSG00000009830
Zak,Got1,ENSG00000120053
Fam104a,Nup37,ENSG00000075188
Fam216b,Arl2bp,ENSG00000102931
Rgs18,Gas8,ENSG00000141013
Pigs,Ift46,ENSG00000118096
Phlda3,Cmpk1,ENSG00000162368
Fstl1,Grb7,ENSG00000141738
Kcns3,Pkig,ENSG00000168734
Gga1,Unc93b1,ENSG00000110057
Col6a3,Slc35b3,ENSG00000124786
Cwc27,Tbc1d7,ENSG00000145979
Asxl3,Llgl2,ENSG00000073350
Vps33a,Rbl2,ENSG00000103479
Zfp593,Slc45a3,ENSG00000158715
Txnrd1,Tpd52l2,ENSG00000101150
Eml5,Pex16,ENSG00000121680
Lrrc47,Uhrf2,ENSG00000147854
Plscr1,Upk1b,ENSG00000114638
Kbtbd13,Bahd1,ENSG00000140320
Prepl,Smg6,ENSG00000070366
Tmem201,Ildr2,ENSG00000143195
Dpm3,Chac2,ENSG00000143942
Olfr856-ps1,Npr3,ENSG00000113389
Katnb1,Snx9,ENSG00000130340
Snrpa1,Sorcs1,ENSG00000108018
Amy1,Itga5,ENSG00000161638
Exosc8,Nr3c2,ENSG00000151623
Rnf220,Taz,ENSG00000018408
2610507I01Rik,Wwtr1,ENSG00000018408
Mtfr2,Gda,ENSG00000119125
Rnf4,Ank1,ENSG00000029534
Sco1,Tbca,ENSG00000171530
Terf1,Stk32c,ENSG00000165752
Nrbp1,Pde1a,ENSG00000115252
Fam21,Dusp22,ENSG00000112679
Als2cl,Spata24,ENSG00000170469
Rpgrip1,Tspan18,ENSG00000157570
Romo1,Notum,ENSG00000185269
Mospd1,Gigyf1,ENSG00000146830
Pi15,Clns1a,ENSG00000074201
Pgls,Tbc1d8b,ENSG00000133138
Vmp1,Col4a1,ENSG00000187498
Miip,Pcsk6,ENSG00000140479
Fam98c,Btbd6,ENSG00000184887
Timm9,Usp37,ENSG00000135913
Hspa13,Srpk2,ENSG00000135250
Lonp2,Rnf170,ENSG00000120925
BC030307,Tgm1,ENSG00000092295
Esrp1,Cish,ENSG00000114737
Lurap1l,Orai1,ENSG00000276045
Yme1l1,Nenf,ENSG00000117691
5330426P16Rik,Igfbp4,ENSG00000141753
Repin1,Nosip,ENSG00000142546
Zfp12,Kctd20,ENSG00000112078
Ager,Psmd13,ENSG00000185627
Gins1,Rprd2,ENSG00000163125
